date,country,cumulative_total_cases,daily_new_cases,active_cases_x,cumulative_total_deaths,daily_new_deaths,month_year,continent,total_confirmed,total_deaths,total_recovered,active_cases_y,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
2020-02-15,Germany,16.0,,13.0,0.0,,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-16,Germany,16.0,0.0,13.0,0.0,,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-17,Germany,16.0,0.0,9.0,0.0,,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-18,Germany,16.0,0.0,7.0,0.0,,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-19,Germany,16.0,0.0,7.0,0.0,,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-20,Germany,16.0,0.0,3.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-21,Germany,16.0,0.0,2.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-22,Germany,16.0,0.0,2.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-23,Germany,16.0,0.0,2.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-24,Germany,16.0,0.0,2.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-25,Germany,18.0,2.0,3.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-26,Germany,26.0,8.0,11.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
2020-02-27,Germany,48.0,22.0,32.0,0.0,0.0,2020-02,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
